,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
0,0,215.1383522,2023-10-11 12:57:51.493160,2023-10-11 13:20:59.102478,0 days 00:23:07.609318,tanh,16,0.3,0.0008238313563716696,1.0,0.9,0.05477248839451873,-1.4642861756949501,0.5,5,16,small,-1,0.8320824760692151,COMPLETE
1,1,283.2338612,2023-10-11 12:57:51.494077,2023-10-11 13:02:48.229567,0 days 00:04:56.735490,relu,32,0.1,5.1596215139055664e-05,1.0,0.9999,0.00048668871856318924,-2.0279660264240644,1.0,1,64,medium,64,0.4386601202520857,COMPLETE
2,2,,2023-10-11 13:02:48.230734,2023-10-11 13:02:58.520294,0 days 00:00:10.289560,relu,512,0.1,0.0007471123111090377,0.98,0.95,0.7388612116631296,-1.3900636881369497,0.7,1,8,medium,32,0.06375368419595306,PRUNED
3,3,3422.219574,2023-10-11 13:02:58.521187,2023-10-11 14:23:20.211407,0 days 01:20:21.690220,relu,8,0.2,1.216764956400519e-07,0.8,0.9999,0.00015803955024314058,-0.7511367096305372,0.3,10,1024,small,-1,0.8482306497382419,COMPLETE
4,4,1587.3211359999998,2023-10-11 13:20:59.103634,2023-10-11 13:45:47.571908,0 days 00:24:48.468274,tanh,64,0.3,0.0001989955283210687,0.99,0.9,0.00011998813476963507,-3.9727484849691006,0.9,20,64,medium,8,0.751261990193932,COMPLETE
5,5,164.3128596,2023-10-11 13:45:47.573125,2023-10-11 13:53:56.964858,0 days 00:08:09.391733,tanh,64,0.4,5.295579458735387e-08,1.0,0.99,0.19278049599510508,-3.1155372847237586,1.0,20,256,small,16,0.689910034128126,PRUNED
6,6,196.5723064,2023-10-11 13:53:56.965616,2023-10-11 13:57:26.158253,0 days 00:03:29.192637,tanh,8,0.1,0.007616861315404284,0.92,0.99,0.24880600987836152,-2.6543447736834187,5.0,1,8,small,32,0.8705200050181096,PRUNED
7,7,234.64841,2023-10-11 13:57:26.159116,2023-10-11 14:06:12.802461,0 days 00:08:46.643345,relu,64,0.4,5.156542945190396e-07,0.8,0.9,1.8596959901319444e-05,-2.162461512870029,0.9,5,1024,medium,8,0.5558065187761231,COMPLETE
8,8,2519.7960102,2023-10-11 14:06:12.804944,2023-10-11 15:30:45.644037,0 days 01:24:32.839093,tanh,8,0.3,6.640467719617751e-06,0.9,0.999,0.0004424936347993592,0.24159746538163596,0.5,10,512,medium,256,0.9198986841893874,COMPLETE
9,9,268.3903932,2023-10-11 14:23:20.212430,2023-10-11 14:35:34.558924,0 days 00:12:14.346494,relu,8,0.2,0.008901396827107385,1.0,0.98,2.4204420839392913e-05,-1.883099007227305,5.0,1,512,medium,256,0.04414931379332154,COMPLETE
10,10,428.8928672,2023-10-11 14:35:34.560288,2023-10-11 14:54:24.570528,0 days 00:18:50.010240,relu,128,0.4,3.232989138631905e-05,0.9,0.999,3.325971893214219e-05,-2.301989566181864,2.0,5,128,medium,-1,0.9536778598558538,COMPLETE
11,11,550.5741620000001,2023-10-11 14:54:24.571747,2023-10-11 15:33:41.985128,0 days 00:39:17.413381,relu,8,0.2,8.112404322662012e-07,0.98,0.9999,8.003046284414688e-05,-0.860807339241167,2.0,5,1024,small,32,0.6741594558093074,COMPLETE
12,12,200.3388846,2023-10-11 15:30:45.645270,2023-10-11 16:02:45.156014,0 days 00:31:59.510744,tanh,128,0.3,0.0006007228210762096,0.9,0.995,0.027207095829539753,-0.4216550410565296,5.0,10,512,medium,256,0.8649954193043797,COMPLETE
13,13,365.3801454,2023-10-11 15:33:41.986382,2023-10-11 16:41:07.010054,0 days 01:07:25.023672,relu,8,0.2,8.357777727318075e-08,0.8,0.95,0.00016881893291031808,-0.3160788337235476,0.3,10,8,small,-1,0.610886380569551,COMPLETE
14,14,2472.306587,2023-10-11 16:02:45.157272,2023-10-11 16:41:16.008837,0 days 00:38:30.851565,tanh,8,0.3,2.3051518384345967e-05,0.9,0.9999,0.00013107468855147697,0.0736117033453072,0.5,5,512,small,256,0.8489945327664062,COMPLETE
15,15,1533.8790352,2023-10-11 16:41:07.011244,2023-10-11 17:20:29.317275,0 days 00:39:22.306031,tanh,8,0.3,7.163588399974203e-06,0.9,0.999,9.270831222898806e-05,-0.1447187161160916,0.5,5,128,medium,16,0.8927312071466506,COMPLETE
16,16,956.9081333999999,2023-10-11 16:41:16.010144,2023-10-11 18:34:46.066626,0 days 01:53:30.056482,relu,8,0.3,4.076944083395819e-06,0.8,0.98,0.0022416626243441777,0.4085752051319541,0.3,10,1024,medium,-1,0.6329417848362507,COMPLETE
17,17,2857.026594,2023-10-11 17:20:29.318559,2023-10-11 19:05:10.216796,0 days 01:44:40.898237,relu,8,0.3,1.5669841968110358e-06,0.9,0.999,0.0011313293857256137,-0.43166583488216403,0.6,10,512,medium,256,0.7239260455623271,COMPLETE
18,18,278.78081499999996,2023-10-11 18:34:46.067874,2023-10-11 19:43:46.630995,0 days 01:09:00.563121,relu,8,0.2,2.2442266593594875e-07,0.8,0.9999,3.299224205354171e-05,-2.5583977576241868,0.6,10,1024,small,256,0.9284890405289767,COMPLETE
19,19,789.2576002,2023-10-11 19:05:10.218064,2023-10-11 20:03:39.160480,0 days 00:58:28.942416,relu,8,0.3,1.5752780217697552e-05,0.9,0.999,0.00516808668484668,0.45221242881281365,0.8,5,512,medium,256,0.3502731473414771,COMPLETE
20,20,407.38215019999996,2023-10-11 19:43:46.632331,2023-10-11 20:04:32.636891,0 days 00:20:46.004560,relu,8,0.1,2.316326476982974e-08,0.9,0.9999,0.00011539300953890796,-0.0015316735738344356,0.3,10,1024,small,-1,0.7744589320942287,PRUNED
21,21,681.5291724000001,2023-10-11 20:03:39.161647,2023-10-11 21:07:19.408262,0 days 01:03:40.246615,relu,16,0.3,3.0886558596856764e-06,0.9,0.999,0.00651284319559621,-0.6455066296761403,0.7,10,256,medium,256,0.9451782928265051,COMPLETE
22,22,238.2248748,2023-10-11 20:04:32.637618,2023-10-11 20:36:13.168846,0 days 00:31:40.531228,relu,8,0.3,1.41947135339548e-06,0.9,0.999,0.0816008835879026,-0.43180574586169945,0.6,10,64,medium,256,0.6576678653196997,PRUNED
23,23,3279.2098068000005,2023-10-11 20:36:13.169788,2023-10-11 20:42:06.428803,0 days 00:05:53.259015,relu,256,0.4,0.00016140015720478472,0.9,0.999,0.0008402607642603583,-1.3906748917939185,0.6,10,512,medium,256,0.9484726979347277,COMPLETE
24,24,3215.6428724,2023-10-11 20:42:06.430082,2023-10-11 20:46:43.434494,0 days 00:04:37.004412,relu,512,0.4,0.0004065489073899851,0.9,0.999,0.005111605396193687,-3.13497970997501,0.6,10,2048,medium,256,0.9761396731722942,COMPLETE
25,25,260.99684379999997,2023-10-11 20:46:43.435732,2023-10-11 20:48:26.406271,0 days 00:01:42.970539,relu,512,0.4,4.647094971431792e-05,0.9,0.999,0.0004105993471948149,-3.480488975074219,0.6,10,2048,medium,8,0.765723458811903,PRUNED
26,26,470.8798376,2023-10-11 20:48:26.407101,2023-10-11 20:50:07.082017,0 days 00:01:40.674916,relu,512,0.4,0.0007537684080615566,1.0,0.95,0.00023796606782532372,-3.161485571028671,0.5,10,2048,medium,256,0.845243617895224,PRUNED
27,27,2878.0400004000003,2023-10-11 20:50:07.082929,2023-10-11 20:57:08.999795,0 days 00:07:01.916866,relu,128,0.4,1.0044887477261756e-05,0.9,0.999,0.003434714232036859,-0.7747481179282203,0.8,10,512,small,256,0.69566924824911,COMPLETE
28,28,81.26134140000002,2023-10-11 20:57:09.000976,2023-10-11 20:58:28.064033,0 days 00:01:19.063057,relu,512,0.3,0.004560663386814413,0.9,0.99,0.07367476711468687,-2.2964431353239543,0.6,10,2048,medium,256,0.9095635514108164,PRUNED
29,29,255.61117759999996,2023-10-11 20:58:28.064909,2023-10-11 21:14:32.794039,0 days 00:16:04.729130,relu,32,0.2,8.103341723317014e-07,0.8,0.9999,0.0001490650416711923,-2.3757192501769655,0.3,20,1024,small,-1,0.8719087269074357,PRUNED
30,30,232.0021172,2023-10-11 21:07:19.409482,2023-10-11 21:08:10.559840,0 days 00:00:51.150358,relu,256,0.4,5.931083316063575e-05,0.98,0.999,0.001686103985205195,-2.151291264137842,0.6,1,256,medium,256,0.8481880706210877,PRUNED
31,31,263.14700000000005,2023-10-11 21:08:10.560581,2023-10-11 21:09:04.236059,0 days 00:00:53.675478,relu,64,0.2,1.1692115077513547e-08,0.8,0.9999,2.654090544413677e-05,-0.589169326428434,0.3,1,1024,small,8,0.6892211637522623,PRUNED
32,32,204.32975800000003,2023-10-11 21:09:04.236730,2023-10-11 21:18:55.215247,0 days 00:09:50.978517,relu,32,0.4,0.009068626894657993,0.9,0.999,0.010188836541727603,-2.2128186277648325,0.3,10,2048,medium,256,0.7231369465587667,PRUNED
33,33,337.5315486,2023-10-11 21:14:32.794711,2023-10-11 21:15:52.662482,0 days 00:01:19.867771,relu,512,0.4,0.00014556546589158758,0.95,0.999,0.005019179092894544,-2.9311598909618626,0.7,10,2048,medium,256,0.9669179481673937,PRUNED
34,34,1643.9796916,2023-10-11 21:15:52.663389,2023-10-11 21:23:20.392920,0 days 00:07:27.729531,relu,128,0.4,8.482148240959485e-05,0.9,0.999,0.002701274705127799,0.9392670274025421,0.8,10,1024,small,256,0.7663288184298506,COMPLETE
35,35,2273.665442,2023-10-11 21:18:55.216109,2023-10-11 21:51:14.783786,0 days 00:32:19.567677,relu,256,0.2,1.5150446729725453e-05,0.9,0.999,0.0020193827654894944,-1.9493239021846769,2.0,10,32,medium,256,0.8655529359813552,COMPLETE
36,36,917.5010886,2023-10-11 21:23:20.394159,2023-10-11 21:29:33.327507,0 days 00:06:12.933348,relu,256,0.4,0.0009143362437061421,0.9,0.999,0.004806288482560961,-0.36490833783326315,2.0,10,512,medium,256,0.8703605743818834,COMPLETE
37,37,374.56954779999995,2023-10-11 21:29:33.328789,2023-10-11 21:50:28.395329,0 days 00:20:55.066540,relu,8,0.2,3.116777223234848e-07,0.8,0.98,5.962499061274204e-05,-0.7737483453634053,2.0,10,1024,small,-1,0.8153574085960135,PRUNED
