#{"t_start": 1697105376.2157896, "env_id": "turbolander-2d-custom-v1"}
r,l,t
56.842606,54,0.516479
313.631424,63,0.664126
1130.449455,50,0.776292
609.4606,65,0.924151
190.885316,49,1.037308
54.720588,49,1.151913
115.451348,55,1.280758
87.466498,58,1.411783
64.269835,63,3.23389
130.471086,54,3.372778
56.069449,52,3.52823
259.204252,54,3.950734
379.576432,50,4.062325
74.382902,57,4.193627
500.694086,53,4.312559
98.156548,55,4.431754
169.581928,55,4.549379
107.230936,55,4.667276
101.729686,61,6.831372
1476.397576,50,6.943012
60.656489,61,7.077162
60.472507,55,7.203321
129.644463,57,7.593259
138.369264,54,7.712979
132.710112,56,7.838506
102.706949,59,7.967279
49.28124,51,8.078684
88.383011,66,9.959659
65.334704,67,10.11173
309.730446,57,10.237706
62.504003,58,10.366122
232.262662,69,10.527137
159.981965,55,10.649102
75.373668,58,11.033612
142.15133,54,11.153228
88.534517,59,13.425178
586.709297,59,13.556
53.920871,57,13.681128
332.304906,52,13.794613
1332.391609,57,13.92488
66.743804,51,14.038816
70.657464,69,14.197559
52.672094,55,14.318587
126.410347,61,14.452134
114.517235,64,16.398289
81.211904,56,16.522325
61.837947,50,16.642077
56.997324,54,16.763705
398.982009,64,16.908897
707.136331,53,17.027791
830.293154,60,17.168965
570.149526,69,17.323117
46.142502,50,19.336517
1407.791138,80,19.508357
79.230453,55,19.974251
157.097724,56,20.13792
153.817874,56,20.27988
257.280746,66,20.42943
140.552093,60,20.566232
72.152278,60,20.702113
98.498995,69,22.740871
143.456616,70,22.894836
74.801322,65,23.035449
632.594439,63,23.174035
173.814402,58,23.626306
516.846564,63,23.764579
172.829313,52,23.880667
75.220321,57,24.005196
111.886993,57,25.646243
64.129633,57,25.774565
84.506971,58,25.9054
3135.949172,66,26.053026
175.181648,62,26.190498
118.965659,59,26.320028
165.542703,70,26.826546
125.464429,75,26.994085
717.071824,95,28.99491
529.360637,62,29.174627
1169.012024,75,29.390923
135.782164,62,29.528943
1749.659225,60,29.659744
60.996129,62,29.793671
173.621078,54,29.914392
478.023504,64,30.058615
56.775649,56,32.762519
346.279853,79,32.935794
114.313879,74,33.100846
74.672722,60,33.231147
499.266564,68,33.3798
1230.121704,61,33.513716
106.541771,53,33.631155
238.777693,85,35.593005
2626.906294,72,35.754879
161.143884,55,36.197587
1033.60754,54,36.314796
110.422538,58,36.445471
172.272601,58,36.574373
275.604737,62,36.710993
113.5355,56,36.833124
143.890472,62,36.967236
164.730481,58,38.474807
67.896964,61,38.607806
67.72793,61,38.743986
344.330823,72,39.204734
132.301551,63,39.341837
942.34608,60,39.475443
112.363049,60,39.605585
720.218667,59,39.735417
880.001682,57,41.442513
107.437453,61,41.581685
86.606496,60,41.719625
177.778134,67,41.865923
161.340189,62,41.999995
164.015916,59,42.13693
62.935736,56,42.636631
120.168885,71,42.794317
81.723808,72,44.723182
2287.415659,70,44.879574
154.031041,74,45.042772
65.502062,54,45.163399
174.589483,79,45.340031
243.822525,76,45.514681
440.274849,69,45.668434
246.577588,76,48.331113
1461.189768,63,48.46824
590.316891,91,48.670945
206.757052,65,48.812589
1255.914914,90,49.013198
102.569807,90,49.211073
202.728444,71,50.944827
169.47464,80,51.12447
799.932685,66,51.697513
604.41959,81,51.871162
159.240091,63,52.010516
389.485508,72,52.164563
146.565724,89,52.356951
4014.146551,57,54.021364
57.409496,58,54.148695
378.370862,99,54.364792
729.043027,68,54.92399
147.872815,70,55.082906
303.819007,75,55.250978
201.891881,87,55.44518
171.066778,62,57.298732
99.471718,103,57.523115
852.08192,79,57.69872
139.65809,90,57.89792
324.961791,82,58.560889
142.406746,108,60.451151
154.080924,72,60.60601
865.083817,102,60.825689
148.533755,62,60.957535
371.951239,86,61.144325
177.80116,113,61.39067
212.870185,63,63.72172
228.875707,76,63.887722
2380.587791,71,64.042566
354.066682,107,64.278594
1037.87923,210,64.74701
209.696214,138,66.776198
528.179347,223,67.740602
90.748212,81,67.914654
227.844156,75,68.082252
252.024541,85,69.786498
616.508448,138,70.090344
136.503092,74,70.772287
124.118745,107,71.007508
259.093337,82,71.18647
260.067253,72,73.095709
898.154325,136,73.390019
363.321831,104,73.615383
315.205505,87,74.323838
299.848382,100,74.538795
768.946589,93,76.178786
205.547918,111,76.419405
497.714465,115,76.669948
495.548781,117,76.922123
359.01742,117,79.124635
360.677455,86,79.310629
638.539923,142,79.619837
4757.504074,146,79.935268
384.89343,226,82.62131
300.518036,131,82.906903
342.909695,84,83.090877
200.748911,135,83.384024
393.482602,94,85.046734
505.177908,136,85.343677
365.865174,163,86.110747
261.023146,103,86.338594
652.607902,92,88.500007
496.945393,109,88.744735
1835.444195,106,88.976856
583.194645,104,89.684567
558.817498,112,91.469353
224.645009,135,91.769383
540.465665,117,92.043061
347.531996,93,92.255981
680.316851,116,92.521135
208.971673,145,95.098601
371.962193,84,95.282881
472.687027,105,95.507514
431.505425,91,95.706776
406.804591,186,97.700697
749.886552,128,98.40561
386.723858,104,98.63417
1923.116971,125,98.905658
1688.196807,131,100.672335
395.731224,89,100.863233
266.560238,110,101.558931
337.814877,99,101.769165
799.264009,133,102.058965
354.033596,145,104.337041
2622.954803,146,104.651578
3031.603382,107,105.342614
4590.086825,145,107.438139
481.868533,109,107.675928
370.57396,122,107.945695
443.349307,94,108.15163
565.986097,114,108.398368
551.955982,101,110.8214
526.274005,112,111.073167
271.323306,85,111.264365
502.648751,96,111.474932
421.092469,115,111.727245
1828.684132,241,114.2507
404.871049,156,114.594444
563.155583,157,116.620759
1314.865712,142,116.92117
893.154561,119,117.629403
325.740847,97,117.838616
1189.238961,208,119.975077
235.622849,163,120.335766
537.69448,102,120.556592
983.494023,136,122.877482
581.851438,103,123.128241
633.343599,108,123.372524
1878.521206,271,123.973387
948.042154,136,126.187958
439.711412,105,126.41867
1809.848145,165,126.77519
858.551507,213,128.927723
841.615723,106,129.674723
296.900992,100,129.893804
326.783669,88,130.084366
1413.828999,111,132.144677
463.089607,134,132.49685
321.778164,91,132.756775
2899.360535,234,133.653521
398.873579,92,135.567831
313.480984,103,135.790117
2217.132913,154,136.119466
816.955007,118,136.754447
274.223096,92,138.668372
502.406282,101,138.952973
607.865825,265,139.545399
535.60181,90,139.744555
489.092037,99,142.173027
402.549214,91,142.37227
307.585578,92,142.577748
987.079187,127,142.860408
729.914078,152,144.815454
388.709369,98,145.343038
205.592724,98,145.548146
573.821089,189,145.965921
465.858328,154,148.130708
791.41625,144,148.441201
433.291791,123,149.144793
528.501587,108,149.376713
409.910918,104,151.559686
398.024686,105,151.839563
755.348668,101,152.088915
374.809997,105,152.383682
872.84031,175,154.950565
604.924009,141,155.26418
752.128382,95,155.472017
368.990048,105,155.704966
1620.082139,160,158.194977
465.637534,106,158.426383
1960.020231,127,158.76878
4193.374216,150,159.089477
340.243921,94,161.058283
644.418643,102,161.579383
1987.946832,148,161.914707
374.684625,206,162.3578
504.088586,97,164.369154
357.930659,118,164.633377
790.900944,210,165.385437
358.892857,96,167.141234
528.758422,108,167.38791
429.37063,154,167.720469
506.365297,117,168.271703
507.179664,93,168.494402
228.506852,155,170.463546
295.546334,107,170.697037
576.365857,107,170.930349
342.402391,139,171.245392
1358.231206,185,173.449378
582.89191,140,173.756747
378.737215,175,174.135372
899.12436,268,176.628704
1658.205957,207,177.168654
461.771803,117,179.202517
492.262806,126,179.485662
423.675154,104,180.032701
256.251596,118,180.291655
662.318395,171,182.60897
569.724743,113,182.85084
1008.346758,164,183.20374
648.342328,131,185.558345
692.969081,102,185.785076
564.89174,127,186.066897
1099.170469,130,186.352755
345.820891,106,186.58488
839.52291,105,188.838718
558.458241,136,189.131529
264.975739,163,189.484283
865.551887,146,191.364054
381.226479,103,191.592525
552.541902,199,192.414495
350.360526,129,192.776423
882.589176,187,195.106087
457.378431,90,195.301306
318.138226,99,195.841479
778.903056,100,196.057991
521.420611,94,198.338313
637.53364,219,198.82127
297.981752,129,199.111191
439.290813,131,199.70328
570.332073,110,201.96582
343.776395,130,202.252695
3881.769071,251,202.804133
1741.851226,122,205.697974
872.264385,197,206.125499
1287.028977,230,208.349405
582.987777,136,209.253627
428.788478,194,209.656459
1289.109866,228,211.936577
2598.402706,154,212.795313
598.893704,227,213.265191
694.870797,275,216.195343
811.014669,114,216.443342
553.26474,111,217.116985
572.968882,124,218.927284
666.681364,119,219.182606
454.645443,156,219.518
275.228397,150,221.978824
414.451116,115,222.253014
1227.241729,109,222.520629
1105.138678,114,222.770412
304.307454,92,222.967214
393.130178,105,224.934952
2632.225765,111,225.632259
1117.600054,131,225.909933
356.42078,149,226.224416
391.018672,108,227.968247
434.594731,115,228.227448
858.088204,146,228.959487
1163.409089,127,229.245193
293.450938,91,231.282177
1028.30244,153,231.587302
347.715868,123,231.861095
500.851962,90,232.503325
