#{"t_start": 1698758382.7345338, "env_id": "turbolander-2d-custom-v1"}
r,l,t
-99.995377,58,0.297801
-99.854002,57,0.35739
-99.986169,57,0.418603
-99.772153,54,0.481272
-99.714381,58,0.545668
-99.966615,55,0.602959
-99.970657,54,0.663165
-99.989519,69,0.738137
-99.816225,51,0.795508
-99.974275,57,0.858359
-99.836086,51,0.913201
-99.954836,62,0.980333
-99.972112,75,1.058791
-99.99306,55,1.117184
-99.874028,70,1.194206
-99.929242,48,1.24307
-99.936708,57,1.304426
-99.667231,65,1.374363
-99.822759,55,1.432691
-99.832674,59,1.496429
-99.930779,49,1.54872
-99.864254,59,2.180942
-99.96376,55,2.678095
-99.765091,73,3.336974
-99.98637,68,3.959184
-99.946487,61,4.499026
-99.739632,62,5.07494
-99.992335,53,5.543354
-99.892097,55,6.028425
-99.802118,77,6.707957
-99.992954,78,7.393874
-99.986106,63,7.959363
-99.8786,61,8.518079
-99.9908,66,9.155049
-99.94736,72,9.88247
-99.734114,55,10.440085
-99.982475,51,11.059964
-99.99156,53,11.595386
-99.945543,45,12.030044
-99.965414,58,12.632095
-99.89976,116,13.888928
-99.836606,73,14.943553
-99.71986,62,15.560869
-99.941849,50,16.065471
-99.987223,63,16.716223
-99.908741,53,17.288385
-99.992703,81,18.115427
-99.880785,64,18.773761
-96.539552,120,19.997292
-99.948193,71,20.715435
-95.96283,148,22.264243
-99.987986,60,22.870419
-98.279651,138,24.341463
-99.688848,127,25.667754
-99.15563,162,28.176033
-99.883554,112,29.467524
-99.972878,84,30.467021
-99.187012,202,32.86826
-99.963472,112,34.097269
-99.687301,118,35.50038
-97.869413,186,37.741463
-99.660077,84,38.709991
-99.933148,112,39.920374
-99.958184,95,40.974928
-99.723343,167,43.445814
-99.990992,85,44.327151
-99.121486,94,45.344375
-99.510277,92,46.421215
-99.287258,73,47.279728
-99.773695,95,48.356462
-96.212076,151,50.008088
-94.083599,120,51.273802
-99.402306,167,52.952956
-97.476435,100,53.964223
-98.22004,92,54.931957
-94.09858,111,56.146951
-99.550346,84,57.651436
-97.79888,92,58.622172
-93.665306,107,59.826318
-99.005004,111,60.922933
-95.948562,134,62.232701
-98.204286,140,63.637063
-99.639913,222,65.956054
-98.364083,120,67.362987
-92.615417,157,69.189116
-99.786605,180,71.867984
-93.622492,143,73.48152
-98.88926,97,74.642217
-98.68093,162,76.478292
-99.523278,196,78.460916
-98.544273,103,79.536355
-99.928944,103,80.587922
-99.782471,93,81.531126
-99.284159,112,82.679904
-99.872248,97,83.686478
-99.885561,87,85.057551
-99.756098,91,86.050046
-99.547741,154,87.659029
-98.850265,135,89.039498
-99.864019,88,89.950093
-98.599876,177,91.810162
-98.465399,124,93.067673
-99.956141,108,94.16517
-99.689553,173,95.923075
1.219,500,102.132757
0.271379,500,107.83564
0.83367,500,114.990722
